id,name,ingredients,category,cooking_time,method,image
1,간장계란밥,"계란,간장,밥",한식,5,"1.계란 굽고 밥 위에 올리기, 2.간장넣기",egg_rice.jpg
2,김치볶음밥,"김치,밥",한식,10,"1.김치볶기,2.밥넣기",kim.jpg
3,만두,"냉동만두",한식,7,"1.에어프라이어에서 조리",mado.jpg
4,참치마요덮밥,"참치캔,마요네즈,간장,밥,김가루",한식,7,1.참치 기름 빼기 2.마요·간장 섞기 3.밥 위에 올리기,chamchi_mayo.jpg
5,스팸김치볶음밥,"스팸,김치,밥,계란,간장",한식,12,1.스팸 볶기 2.김치 넣기 3.밥 볶고 계란 올리기,spam_kimchi.jpg
6,베이컨대파볶음밥,"베이컨,대파,밥,계란,간장,버터",양식,15,1.대파를 버터에 볶기 2.베이컨 넣기 3.밥 볶기,bacon_daepa.jpg
7,간장계란볶음밥,"계란,밥,대파,간장",한식,8,1.계란 볶기 2.밥 넣기 3.팬에 간장 눌러 향내기,ganjang_egg_fried.jpg
8,전자레인지계란찜,"계란,대파,소금,참기름",한식,4,1.계란·물·소금 섞기 2.전자레인지 3분,mw_egg_jjim.jpg
9,두부조림,"두부,대파,간장,고춧가루,마늘",한식,15,1.두부 굽기 2.양념장 만들기 3.조리기,dubu_jorim.jpg
10,두부구이간장소스,"두부,쪽파,간장,참기름",한식,10,1.두부 굽기 2.간장소스 끼얹기,dubu_gui.jpg
11,순두부찌개,"순두부,계란,양파,애호박,고춧가루",한식,15,1.고춧가루 기름 내기 2.물 붓기 3.재료 넣고 끓이기,sundubu.jpg
12,김치찌개,"김치,돼지고기,두부,대파,고춧가루",한식,20,1.고기·김치 볶기 2.물 붓기 3.두부 넣고 끓이기,kimchi_jjigae.jpg
13,된장찌개,"두부,애호박,감자,양파,된장",한식,20,1.쌀뜨물에 된장 풀기 2.채소 넣기 3.두부 넣고 끓이기,doenjang.jpg
14,부대찌개,"김치,스팸,소시지,라면사리,두부",한식,20,1.재료 담기 2.양념·물 붓기 3.끓이기,budae.jpg
15,콩나물국,"콩나물,대파,국간장,마늘",한식,10,1.찬물에 콩나물 넣기 2.끓이기 3.국간장 간하기,kongnamul_guk.jpg
16,미역국,"건미역,소고기,국간장,참기름",한식,25,1.미역 불리기 2.참기름에 볶기 3.물 붓고 끓이기,miyeok.jpg
17,계란말이,"계란,당근,대파,소금",한식,10,1.계란물 풀기 2.채소 다져 섞기 3.얇게 부쳐 말기,gyeran_mari.jpg
18,계란부추볶음,"계란,부추,소금",한식,5,1.부추 썰기 2.계란물 풀기 3.팬에 볶기,gyeran_buchu.jpg
